IP_source;Nombre_de_trames
BP-Linux8;3093
www.aggloroanne.fr;2130
190-0-175-100.gba.solunet.com.ar;2000
mauves.univ-st-etienne.fr;1687
par10s38-in-f3.1e100.net;827
par21s23-in-f3.1e100.net;251
par21s04-in-f4.1e100.net;223
par21s17-in-f1.1e100.net;180
par21s23-in-f10.1e100.net;99
ns1.lan.rt;83
192.168.190.130;66
par21s17-in-f14.1e100.net;50
par21s20-in-f14.1e100.net;46
192.168.115;42
par21s11-in-f10.1e100.net;28
par21s05-in-f131.1e100.net;27
91.121.37.244;24
par21s11-in-f14.1e100.net;22
par10s40-in-f3.1e100.net;21
par21s18-in-f3.1e100.net;19
par21s20-in-f10.1e100.net;16
201.181.244.35.bc.googleusercontent.com;14
par21s20-in-f2.1e100.net;10
lhr25s01-in-f2.1e100.net;10
par21s23-in-f2.1e100.net;8
93.184.220.29;6
82.221.107.34.bc.googleusercontent.com;5
server-54-230-114-7.mrs52.r.cloudfront.net;5
server-54-230-114-73.mrs52.r.cloudfront.net;5
104.18.31.182;3
ec2-35-166-112-194.us-west-2.compute.amazonaws.com;2
ec2-34-211-70-226.us-west-2.compute.amazonaws.com;2
server-54-230-114-122.mrs52.r.cloudfront.net;2
par21s22-in-f14.1e100.net;2
mad01s26-in-f174.1e100.net;2
par10s40-in-f14.1e100.net;2
par21s12-in-f14.1e100.net;2
par10s28-in-f14.1e100.net;2
